date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:30	1703/1703	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jul%202023%2013:29:27%20GMT	http://eastboundgroup.com/robots.txt		(from )
18:59:31	39621/39621	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2013:29:28%20GMT	http://eastboundgroup.com/	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/index.html	(from )
18:59:31	122672/122672	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:38%20GMT	http://eastboundgroup.com/css/bootstrap.min.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/bootstrap.min.css	(from http://eastboundgroup.com/)
18:59:32	34480/34480	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:46%20GMT	http://eastboundgroup.com/css/jquery-ui.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/jquery-ui.css	(from http://eastboundgroup.com/)
18:59:32	4639/4639	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:53%20GMT	http://eastboundgroup.com/css/owl.carousel.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/owl.carousel.css	(from http://eastboundgroup.com/)
18:59:33	11003/11003	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:39%20GMT	http://eastboundgroup.com/css/chosen.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/chosen.css	(from http://eastboundgroup.com/)
18:59:33	23763/23763	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:45%20GMT	http://eastboundgroup.com/css/font-awesome.min.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/font-awesome.min.css	(from http://eastboundgroup.com/)
18:59:34	5741/5741	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:43%20GMT	http://eastboundgroup.com/css/flaticon-enterprise.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/flaticon-enterprise.css	(from http://eastboundgroup.com/)
18:59:34	5666/5666	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:05:00%20GMT	http://eastboundgroup.com/css/streamline-icon.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/streamline-icon.css	(from http://eastboundgroup.com/)
18:59:34	70824/70824	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:34%20GMT	http://eastboundgroup.com/css/animate.css	C:/My%20Web%20Sites/EB%20clone/eastboundgroup.com/css/animate.css	(from http://eastboundgroup.com/)
